MDB,Sovereign / Non-sovereign ,Project name,Project ID,Approval date,Approval year,Country,World Bank Income Level,Investment instrument,Sector (general),Total commitment ($ million),Mitigation sector,Adaptation sector,"Type (mitigation, adaptation or dual-use)",Climate finance ($ million),Mitigation ($ million),Adaptation ($ million),Dual-use ($ million),Climate finance percentage,Source
Inter American Development Bank,Sovereign,Support for Skills for the Future II,BA-T1097,16/08/2023,2023,Barbados,High income,Technical Cooperation Project,,,,"Energy, transport and other built environment infrastructure",Adaptation,0.0375,0,0.0375,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Design and implementation of a critical path for the labor inclusion of migrants in Chile,CH-T1294,16/08/2023,2023,Chile,High income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Tourism Air Policy,TT-T1140,16/08/2023,2023,Trinidad and Tobago,High income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the redesign of cash transfer programs,CO-T1704,30/08/2023,2023,Colombia,Upper middle income,Technical Cooperation Project,,,,Agricultural and ecological resources,Adaptation,0.39375,0,0.39375,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Supporting the modernization of police protocols for crime and violence prevention and attention with emphasis on vulnerable populations,HO-T1436,30/08/2023,2023,Honduras,Lower middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support to social policies in Barbados,BA-T1104,06/12/2023,2023,Barbados,High income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Productive Development Program for the Northeast Region (PRODEPRO),BR-L1611,06/12/2023,2023,Brazil,Upper middle income,Loan,,,Cross-Sectoral Activities,Other sectors,Dual,49.8,0,0,49.8,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,"Agriculture, Forestry, Land Use and Fisheries",,Mitigation,20.01,20.01,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,39.99,39.99,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,"Agriculture, Forestry, Land Use and Fisheries",,Mitigation,20.01,20.01,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,117.51,117.51,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,20.01,20.01,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,3.3,3.3,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Decarbonize Pará: Policy Reform Project for Sustainable Development in the Amazon,BR-L1613,06/12/2023,2023,Brazil,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,60,60,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the identification and structuring of Public-Private synergies for environmental assets in the Brazilian Amazon Basin,BR-T1559,06/12/2023,2023,Brazil,Upper middle income,Technical Cooperation Project,,,,Agricultural and ecological resources,Adaptation,1,0,1,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Strengthening of the San Estanislao Hospital Services Network,PR-L1190,06/12/2023,2023,Paraguay,Upper middle income,Loan,,,,"Energy, transport and other built environment infrastructure",Adaptation,0.756,0,0.756,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Strengthening of the San Estanislao Hospital Services Network,PR-L1190,06/12/2023,2023,Paraguay,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,29.364,29.364,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support to Public Management and Transparency Policies in Suriname,SU-L1075,06/12/2023,2023,Suriname,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,7.5,7.5,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support to the procurement and fiduciary systems in Haiti,HA-T1316,13/12/2023,2023,Haiti,Lower middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Project for Expansion and Improvement of the Water and Sewer Services of the City of Juliaca - Puno,PE-L1285,13/12/2023,2023,Peru,Upper middle income,Loan,,,Water Supply and Wastewater,,Mitigation,193.095,193.095,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Project for Expansion and Improvement of the Water and Sewer Services of the City of Juliaca - Puno,PE-L1285,13/12/2023,2023,Peru,Upper middle income,Loan,,,Water Supply and Wastewater,,Mitigation,3.57,3.57,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Project for Expansion and Improvement of the Water and Sewer Services of the City of Juliaca - Puno,PE-L1285,13/12/2023,2023,Peru,Upper middle income,Loan,,,,Water and wastewater systems,Adaptation,6.23,0,6.23,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Project for Expansion and Improvement of the Water and Sewer Services of the City of Juliaca - Puno,PE-L1285,13/12/2023,2023,Peru,Upper middle income,Loan,,,,Institutional capacity support or technical assistance,Adaptation,0.805,0,0.805,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Project for Expansion and Improvement of the Water and Sewer Services of the City of Juliaca - Puno,PE-L1285,13/12/2023,2023,Peru,Upper middle income,Loan,,,Water Supply and Wastewater,Water and wastewater systems,Dual,1.96,0,0,1.96,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Participatory and Climate-Informed Decision Support Systems: Enhancing Water Resource Planning and Climate Action in Peru,PE-T1560,13/12/2023,2023,Peru,Upper middle income,Technical Cooperation Project,,,,Other sectors,Adaptation,5.99175086,0,5.991750861,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Participatory and Climate-Informed Decision Support Systems: Enhancing Water Resource Planning and Climate Action in Peru,PE-T1560,13/12/2023,2023,Peru,Upper middle income,Technical Cooperation Project,,,Cross-Sectoral Activities,,Mitigation,2.8392126,2.839212596,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Participatory and Climate-Informed Decision Support Systems: Enhancing Water Resource Planning and Climate Action in Peru,PE-T1560,13/12/2023,2023,Peru,Upper middle income,Technical Cooperation Project,,,,Water and wastewater systems,Adaptation,4.32710782,0,4.327107822,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Participatory and Climate-Informed Decision Support Systems: Enhancing Water Resource Planning and Climate Action in Peru,PE-T1560,13/12/2023,2023,Peru,Upper middle income,Technical Cooperation Project,,,Energy,,Mitigation,2.90991172,2.909911721,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Technical support for the planning of integrate water resources planning in Paraguay,PR-T1295,13/12/2023,2023,Paraguay,Upper middle income,Technical Cooperation Project,,,Water Supply and Wastewater,Water and wastewater systems,Dual,0.075,0,0,0.075,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for developing digital financial inclusion in Latin America and the Caribbean,RG-T4403,13/12/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Reduce knowledge gaps to better address poverty, inequality, lack of economic growth, and climate change in LAC",RG-T4408,13/12/2023,2023,Regional,Regional,Technical Cooperation Project,,,Cross-Sectoral Activities,Information and communications technology,Dual,0.16,0,0,0.16,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Accelerating the digital transformation in the LAC through partnership and data driven analysis,RG-T4414,13/12/2023,2023,Regional,Regional,Technical Cooperation Project,,,Information and Communications Technology (ICT) and Digital Technologies,Information and communications technology,Dual,0.075,0,0,0.075,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Programme to Accelerate the Digital Transformation Agenda,TT-L1061,13/12/2023,2023,Trinidad and Tobago,High income,Loan,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support the Expansion of Secondary Education,GU-L1184,15/02/2023,2023,Guatemala,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,36.3,36.3,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Cybersecurity for Critical Information Infrastructure Program,AR-L1343,11/01/2023,2023,Argentina,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,2.571,2.571,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support Program for Small Wine Producers in Argentina II (PROVIAR II),AR-L1353,11/01/2023,2023,Argentina,Upper middle income,Loan,,,"Agriculture, Forestry, Land Use and Fisheries",,Mitigation,0.42,0.42,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support Program for Small Wine Producers in Argentina II (PROVIAR II),AR-L1353,11/01/2023,2023,Argentina,Upper middle income,Loan,,,,Agricultural and ecological resources,Adaptation,16.036,0,16.036,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Resilience and Revitalization Program in Socially and Environmentally Vulnerable Areas – ProMorar Recife,BR-L1609,11/01/2023,2023,Brazil,Upper middle income,Loan,,,,Institutional capacity support or technical assistance,Adaptation,1.014,0,1.014,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Resilience and Revitalization Program in Socially and Environmentally Vulnerable Areas – ProMorar Recife,BR-L1609,11/01/2023,2023,Brazil,Upper middle income,Loan,,,,Information and communications technology,Adaptation,3.38,0,3.38,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Resilience and Revitalization Program in Socially and Environmentally Vulnerable Areas – ProMorar Recife,BR-L1609,11/01/2023,2023,Brazil,Upper middle income,Loan,,,,"Energy, transport and other built environment infrastructure",Adaptation,99.346,0,99.346,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Resilience and Revitalization Program in Socially and Environmentally Vulnerable Areas – ProMorar Recife,BR-L1609,11/01/2023,2023,Brazil,Upper middle income,Loan,,,Information and Communications Technology (ICT) and Digital Technologies,,Mitigation,0.078,0.078,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Resilience and Revitalization Program in Socially and Environmentally Vulnerable Areas – ProMorar Recife,BR-L1609,11/01/2023,2023,Brazil,Upper middle income,Loan,,,,Coastal and riverine infrastructure (including built flood-protection infrastructure),Adaptation,137.384,0,137.384,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Caribbean Sustainable Energy” Energy Efficiency Program (PEECES),CO-L1271,11/01/2023,2023,Colombia,Upper middle income,Loan,,,Energy,,Mitigation,34.5,34.5,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Access to Credit Program for Micro, Small and Medium-Sized Enterprises (MSMEs)",ES-L1156,11/01/2023,2023,El Salvador,Upper middle income,Loan,,,Cross-Sectoral Activities,Institutional capacity support or technical assistance,Dual,20,0,0,20,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Investment Project for Improvement and Expansion of Potable Water, Sanitary Sewerage and Wastewater Treatment Services in the Zarumilla and Aguas Verdes Districts of the Province of Zarumilla - Department of Tumbes.",PE-L1256,11/01/2023,2023,Peru,Upper middle income,Loan,,,Water Supply and Wastewater,,Mitigation,13.152,13.152,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Investment Project for Improvement and Expansion of Potable Water, Sanitary Sewerage and Wastewater Treatment Services in the Zarumilla and Aguas Verdes Districts of the Province of Zarumilla - Department of Tumbes.",PE-L1256,11/01/2023,2023,Peru,Upper middle income,Loan,,,Water Supply and Wastewater,Water and wastewater systems,Dual,11.646,0,0,11.646,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Social Inclusion and Development Program Phase II,PN-L1177,11/01/2023,2023,Panama,High income,Loan,,,,Other sectors,Adaptation,0.536,0,0.536,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Social Inclusion and Development Program Phase II,PN-L1177,11/01/2023,2023,Panama,High income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,3.868,3.868,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Social Inclusion and Development Program Phase II,PN-L1177,11/01/2023,2023,Panama,High income,Loan,,,,Agricultural and ecological resources,Adaptation,2.614,0,2.614,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Innovative Pilot Project for the Provision of Water and Sanitation Services for SUMQ WASI Rural Homes in Peru,PE-T1534,18/01/2023,2023,Peru,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Fiscal Policy for Climate Change in Colombia,CO-T1682,05/07/2023,2023,Colombia,Upper middle income,Technical Cooperation Project,,,Cross-Sectoral Activities,Institutional capacity support or technical assistance,Dual,0.99,0,0,0.99,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Economic resilience of the indigenous and farming communities of the Calchaquíes Valleys - Province of Tucumán,AR-T1308,12/07/2023,2023,Argentina,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Climate Resilience Diagnosis and Mitigation Plan for Public Infrastructure in The Bahamas,BH-T1100,12/07/2023,2023,Bahamas,High income,Technical Cooperation Project,,,,Institutional capacity support or technical assistance,Adaptation,0.37,0,0.37,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Measuring the effectiveness of a low-cost post-secondary non-formal education program on advanced digital skills,PE-T1562,12/07/2023,2023,Peru,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Innovations for sustainable and resilient agrifood and territorial development in Latin America and the Caribbean,RG-T4238,12/07/2023,2023,Regional,Regional,Technical Cooperation Project,,,,Crop production and food production,Adaptation,0.4,0,0.4,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Strengthen and support to the initiatives and processes of Central American economic integration,RG-T4263,12/07/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Promoting Sustainable Growth in the Blue Economy Program,BL-L1042,19/07/2023,2023,Belize,Upper middle income,Loan,,,,Agricultural and ecological resources,Adaptation,0.532,0,0.532,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the strengthening of the National Road Safety Agency,AR-T1313,26/07/2023,2023,Argentina,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Water Resources management adaptation to climate change in Argentina,AR-T1317,26/07/2023,2023,Argentina,Upper middle income,Technical Cooperation Project,,,,Institutional capacity support or technical assistance,Adaptation,0.45,0,0.45,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support to the Federal Transmission Plan and the decarbonization of the energy sector,AR-T1324,26/07/2023,2023,Argentina,Upper middle income,Technical Cooperation Project,,,Energy,,Mitigation,0.1275,0.1275,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the preparation of the Solar Energy and Sustainable Electric Mobility Program for Mi Teleférico de La Paz (BO-L1229),BO-T1413,26/07/2023,2023,Bolivia ,Lower middle income,Technical Cooperation Project,,,Transport,,Mitigation,0.3,0.3,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Digital solutions for transparent information management and agile processes in the agricultural sector,PN-T1327,26/07/2023,2023,Panama,High income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support the Development of the Green Hydrogen Industry in Chile,CH-L1168,07/06/2023,2023,Chile,High income,Loan,,,Energy,,Mitigation,367.36,367.36,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support the Development of the Green Hydrogen Industry in Chile,CH-L1168,07/06/2023,2023,Chile,High income,Loan,,,Cross-Sectoral Activities,,Mitigation,10.68,10.68,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support the Development of the Green Hydrogen Industry in Chile,CH-L1168,07/06/2023,2023,Chile,High income,Loan,,,"Research, Development and Innovation",,Mitigation,21.96,21.96,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Policy Development for Integrated Solutions in the Solid Waste and Water Sectors in Latin America and the Caribbean (LAC) based on the South Korean Case,RG-T4221,07/06/2023,2023,Regional,Regional,Technical Cooperation Project,,,Water Supply and Wastewater,Water and wastewater systems,Dual,0.5,0,0,0.5,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Data for Greater Digital Integration in Latin America and the Caribbean,RG-T4248,14/06/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Development of XXI century skills in LAC,RG-T4272,14/06/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Digital Payments for an Inclusive Digital Economy,RG-T4275,14/06/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Innovation and Science for Water Security, Climate Resilience and the protection of Amazon Biodiversity within the framework of the Amazon Regional Observatory (ORA)",RG-T4288,14/06/2023,2023,Regional,Regional,Technical Cooperation Project,,,"Research, Development and Innovation",Information and communications technology,Dual,0.55,0,0,0.55,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support Public Policies for the Sustainable and Resilient Growth of Argentina II,AR-L1370,21/06/2023,2023,Argentina,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,326.34,326.34,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Compensations for water savings in agriculture using digital tools: pilots in Argentina,AR-T1309,21/06/2023,2023,Argentina,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Knowledge Exchange in the Creation and Operation of Water Funds,HO-T1426,21/06/2023,2023,Honduras,Lower middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Program to Support a Fair, Clean and Sustainable Energy Transition I",PN-L1181,21/06/2023,2023,Panama,High income,Loan,,,Cross-Sectoral Activities,Institutional capacity support or technical assistance,Dual,48,0,0,48,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Program to Support a Fair, Clean and Sustainable Energy Transition I",PN-L1181,21/06/2023,2023,Panama,High income,Loan,,,Transport,,Mitigation,0.16,0.16,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Program to Support a Fair, Clean and Sustainable Energy Transition I",PN-L1181,21/06/2023,2023,Panama,High income,Loan,,,Energy,,Mitigation,145.58,145.58,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for development of financing models for public infrastructure and transport logistics and for public transport decarbonization in Panama,PN-T1329,21/06/2023,2023,Panama,High income,Technical Cooperation Project,,,Transport,,Mitigation,0.1,0.1,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Amazongrid – Tokenized Mapping and Geospatial Intelligence to Optimize and Monitor Conservation,RG-T4174,21/06/2023,2023,Regional,Regional,Technical Cooperation Project,,,Information and Communications Technology (ICT) and Digital Technologies,,Mitigation,0.425,0.425,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,ProMorar Brasil - Promotion of New Housing Strategies in Brazil for Low-income Population,BR-L1596,28/06/2023,2023,Brazil,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency","Energy, transport and other built environment infrastructure",Dual,24.60085147,0,0,24.60085147,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,State of São Paulo Highway Investment Program - Phase III,BR-L1607,28/06/2023,2023,Brazil,Upper middle income,Loan,,,Transport,"Energy, transport and other built environment infrastructure",Dual,150.761919,0,0,150.761919,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support Sustainable and Equitable Fiscal Policies,CO-L1283,28/06/2023,2023,Colombia,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,142.85,142.85,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the design of the Program to Strengthen Equality Policies in Colombia (PBL),CO-T1701,28/06/2023,2023,Colombia,Upper middle income,Technical Cooperation Project,,,,Other sectors,Adaptation,0.01764,0,0.01764,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Improvement of social services for the migrant population in Ecuador,EC-T1501,28/06/2023,2023,Ecuador,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Modernization Program of the Salto Grande Binational Hydropower Complex - Phase II-a,RG-L1167,28/06/2023,2023,Regional,Regional,Loan,,,Energy,,Mitigation,150,150,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the strengthening of I+D+i programs with a focus on climate change,UR-T1299,28/06/2023,2023,Uruguay,High income,Technical Cooperation Project,,,"Research, Development and Innovation",Information and communications technology,Dual,0.45,0,0,0.45,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Social Integration and Housing Improvement Program,AR-L1361,29/03/2023,2023,Argentina,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,13.56,13.56,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Social Integration and Housing Improvement Program,AR-L1361,29/03/2023,2023,Argentina,Upper middle income,Loan,,,Transport,,Mitigation,9.96,9.96,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Social Integration and Housing Improvement Program,AR-L1361,29/03/2023,2023,Argentina,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,6.495,6.495,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Social Integration and Housing Improvement Program,AR-L1361,29/03/2023,2023,Argentina,Upper middle income,Loan,,,,Water and wastewater systems,Adaptation,11.175,0,11.175,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Urban Social Integration and Housing Improvement Program,AR-L1361,29/03/2023,2023,Argentina,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency","Energy, transport and other built environment infrastructure",Dual,38.865,0,0,38.865,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to Support Transformation of the Public Sector II,PR-L1185,29/03/2023,2023,Paraguay,Upper middle income,Loan,,,Cross-Sectoral Activities,,Mitigation,12.495,12.495,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Program to support the social inclusion of people with disabilities,AR-L1366,03/05/2023,2023,Argentina,Upper middle income,Loan,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Strengthen Educational Trajectories in the Province of Buenos Aires,AR-L1367,03/05/2023,2023,Argentina,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,6.435,6.435,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Strengthen Educational Trajectories in the Province of Buenos Aires,AR-L1367,03/05/2023,2023,Argentina,Upper middle income,Loan,,,Information and Communications Technology (ICT) and Digital Technologies,,Mitigation,93.24,93.24,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Informal City: Urban Models in Colombia - Barrios de Paz Program,CO-T1688,03/05/2023,2023,Colombia,Upper middle income,Technical Cooperation Project,,,,Institutional capacity support or technical assistance,Adaptation,0.175,0,0.175,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Sustainable Coastal Management Project,DR-L1154,03/05/2023,2023,Dominican Republic,Upper middle income,Loan,,,,Agricultural and ecological resources,Adaptation,70,0,70,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Technological Innovations to Improve Transparency and Integrity in Latin America and the Caribbean (Phase III),RG-T4229,03/05/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,The role of fiscal management on reducing informality in LAC,RG-T4256,03/05/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Support for the institutional strengthening of the Bicentennial Group,CO-T1718,10/05/2023,2023,Colombia,Upper middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Labor market outcomes and its determinants for women and diverse groups in Latin-America and the Caribbean,RG-T4242,10/05/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Agile Regulation for Innovation in Developing Countries,RG-T4253,10/05/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Improving public policies through the digital agenda.,RG-T4286,10/05/2023,2023,Regional,Regional,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Skills for the Future Program,BL-G1008,17/05/2023,2023,Belize,Upper middle income,Investment Grant,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Skills for the Future Program,BL-L1044,17/05/2023,2023,Belize,Upper middle income,Loan,,,Information and Communications Technology (ICT) and Digital Technologies,,Mitigation,2.994,2.994,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Skills for the Future Program,BL-L1044,17/05/2023,2023,Belize,Upper middle income,Loan,,,Cross-Sectoral Activities,Institutional capacity support or technical assistance,Dual,0.3885,0,0,0.3885,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Skills for the Future Program,BL-L1044,17/05/2023,2023,Belize,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,6.4725,6.4725,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,"Strengthening of the response capacity, quality, and financing of the provision of health services for the implementation of the Guaranteed Set of Health Benefits for Honduras (CGPSH).",HO-T1403,17/05/2023,2023,Honduras,Lower middle income,Technical Cooperation Project,,,,,,0,0,0,0,,2023 IDB Climate Finance Database
Inter American Development Bank,Sovereign,Fiscal Management Modernization Project for the State of Santa Catarina – PROFISCO II SC,BR-L1513,24/05/2023,2023,Brazil,Upper middle income,Loan,,,"Buildings, Public Installations and End-Use Energy Efficiency",,Mitigation,7.555,7.555,0,0,,2023 IDB Climate Finance Database
